formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C14H15NO5S	[M + H]+	C14H16NO5S+	Amino acids and Peptides	0.622	Small peptides	0.127	Simple coumarins	0.127	Benzenoids	0.956	Benzene and substituted derivatives	0.678					Benzene and substituted derivatives	0.678	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	310.075	863	603012708609890001	603010836184373694	566
4	C24H32N6O6S3	[M + H]+	C24H33N6O6S3+	Amino acids and Peptides	0.992	Oligopeptides	1.000	Cyclamides	0.968	Organic acids and derivatives	0.982	Carboxylic acids and derivatives	0.898	Amino acids, peptides, and analogues	0.743	Amino acids and derivatives	0.719	Alpha amino acids and derivatives	0.598	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Thiazoles; Alcohols and polyols; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Thiazolecarboxylic acids and derivatives; Amines; 2,4-disubstituted thiazoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; 2-heteroaryl carboxamides; Chemical entities	597.160	863	603012729505917521	603010836289231299	567
1	C4H7NO2	[M + H]+	C4H8NO2+	Amino acids and Peptides	0.998	Small peptides	0.997	Aminoacids	0.999	Organic acids and derivatives	0.996	Carboxylic acids and derivatives	0.995	Amino acids, peptides, and analogues	0.974	Amino acids and derivatives	0.973	Alpha amino acids	0.757	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	102.055	864	603012706948945353	603010836402477512	568
1	C4H9NO3	[M + H]+	C4H10NO3+	Amino acids and Peptides	1.000	Small peptides	1.000	Aminoacids	1.000	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.999	Amino acids and derivatives	0.999	Alpha amino acids	0.952	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Short-chain hydroxy acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	120.066	866	603012662418017426	603010836511529421	569
1	C9H18N2O3	[M + H]+	C9H19N2O3+	Amino acids and Peptides	0.659	Small peptides	0.908	Aminoacids	0.199	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.977	Amino acids and derivatives	0.977	Gamma amino acids and derivatives	0.675	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Straight chain fatty acids; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Gamma amino acids and derivatives; Amines; Primary amines; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	203.139	868	603012692742836634	603010836624775634	570
1	C8H16N2O3	[M + H]+	C8H17N2O3+	Amino acids and Peptides	1.000	Small peptides	1.000	Aminoacids	0.985	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	1.000	Amino acids and derivatives	1.000	N-acyl-alpha amino acids	0.892	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	189.123	877	603012656806038172	603010836729633239	571
1	C11H20N2O3	[M + H]+	C11H21N2O3+	Alkaloids	0.471	Ornithine alkaloids	0.367	Pyrrolidine alkaloids	0.303	Organic acids and derivatives	0.931	Carboxylic acids and derivatives	0.927	Amino acids, peptides, and analogues	0.642	Amino acids and derivatives	0.643	Amino acids and derivatives	0.643	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Oxazinanes; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Morpholines; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	229.155	881	603012708177876598	603010836901599708	572
4	C24H32N6O6S3	[M + H]+	C24H33N6O6S3+	Amino acids and Peptides	0.990	Oligopeptides	1.000	Cyclamides	0.962	Organic acids and derivatives	0.979	Carboxylic acids and derivatives	0.877	Amino acids, peptides, and analogues	0.723	Amino acids and derivatives	0.692	Alpha amino acids and derivatives	0.632	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Thiazoles; Alcohols and polyols; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Thiazolecarboxylic acids and derivatives; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; 2-heteroaryl carboxamides; Chemical entities	597.160	904	603012655975565859	603010837144869350	574
1	C10H20N2O3	[M + H]+	C10H21N2O3+	Amino acids and Peptides	0.928	Small peptides	0.995	Aminoacids	0.745	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.996	Amino acids and derivatives	0.996	N-acyl-alpha amino acids	0.943	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Medium-chain fatty acids; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	217.155	911	603012657762339570	603010837706906096	576
1	C7H17NO2S	[M + H]+	C7H18NO2S+	Fatty acids	0.936	Fatty amides	0.369	Primary amides	0.188	Organosulfur compounds	0.983	Sulfenyl compounds	0.597					Sulfenyl compounds	0.597	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	180.105	919	603012714117011855	603010837887261173	577
1	C3H7NO3	[M + H]+	C3H8NO3+	Amino acids and Peptides	0.998	Small peptides	0.999	Aminoacids	0.999	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.991	Amino acids and derivatives	0.991	Alpha amino acids	0.887	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Beta hydroxy acids and derivatives; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Serine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	106.050	917	603012718835604365	603010838096976378	578
1	C6H13NOS	[M + H]+	C6H14NOS+	Fatty acids	0.905	Fatty amides	0.865	Primary amides	0.941	Organic acids and derivatives	0.590	Carboxylic acids and derivatives	0.527					Carboxylic acids and derivatives	0.527	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	148.079	917	603012692046582121	603010838210222591	579
2	C14H23N7O9	[M + H]+	C14H24N7O9+	Carbohydrates	0.995	Nucleosides	0.982	Purine nucleosides	0.951	Organic acids and derivatives	0.928	Carboxylic acids and derivatives	0.550	Amino acids, peptides, and analogues	0.677	Amino acids and derivatives	0.671	Alpha amino acids and derivatives	0.568	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Aminopyrimidines and derivatives; Diazines; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Polyols; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; 6-aminopurines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	434.162	917	603012713936656752	603010838327663108	580
1	C5H7NO3	[M + H]+	C5H8NO3+	Amino acids and Peptides	0.998	Small peptides	0.997	Aminoacids	0.996	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.950	Amino acids and derivatives	0.949	Proline and derivatives	0.687	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Pyrrolidones; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Oxoprolines; Pyrrolidine carboxylic acids; Pyrrolidine-2-ones; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	130.050	919	603012716130277991	603010838436715017	581
1	C5H7NO3	[M + H3N + H]+	C5H11N2O3+	Amino acids and Peptides	0.996	Small peptides	0.991	Aminoacids	0.994	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.899	Amino acids and derivatives	0.897	Proline and derivatives	0.644	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Pyrrolidones; Carboxylic acids; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Oxoprolines; Pyrrolidine carboxylic acids; Pyrrolidine-2-ones; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	147.076	919	603012656378219105	603010838549961230	582
1	C4H8N2O3	[M + H]+	C4H9N2O3+	Amino acids and Peptides	0.999	Small peptides	0.999	Aminoacids	0.998	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.999	Amino acids and derivatives	0.999	Alpha amino acids	0.956	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Asparagine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	133.061	921	603012651642849537	603010838692567571	583
1	C9H18N2O3	[M + H]+	C9H19N2O3+	Amino acids and Peptides	0.994	Small peptides	0.999	Dipeptides	0.801	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.999	Amino acids and derivatives	0.999	N-acyl-alpha amino acids	0.920	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	203.139	937	603012706181387557	603010838789036568	584
2	C18H24N6O8	[M + H]+	C18H25N6O8+	Amino acids and Peptides	0.769	Nucleosides	0.751	Purine nucleosides	0.660	Organic acids and derivatives	0.993	Carboxylic acids and derivatives	0.973	Amino acids, peptides, and analogues	0.914	Amino acids and derivatives	0.907	Phenylalanine and derivatives	0.689	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Phenethylamines; Amphetamines and derivatives; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Diazines; Secondary carboxylic acid amides; Imidazopyrimidines; Carbonyl compounds; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; N-acyl-alpha amino acids; Benzenoids; Amines; Primary amines; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Phenylalanine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	453.175	939	603012704772101270	603010838889699869	585
1	C12H19NO3S2	[M + H]+	C12H20NO3S2+	Alkaloids	0.276	Pseudoalkaloids (transamidation)	0.076	Phenylalanine-derived alkaloids	0.128	Organic acids and derivatives	0.764	Organic sulfonic acids and derivatives	0.700	Organosulfonic acids and derivatives	0.703			Organosulfonic acids and derivatives	0.703	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Sulfonyls; Trialkylamines; Amines; Tertiary amines; Aminosulfonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	290.089	944	603012688410120320	603010838986168866	586
1	C8H18N4O4S	[M + Na]+	C8H18N4NaO4S+	Alkaloids	0.672	Histidine alkaloids	0.084	Imidazole alkaloids	0.084	Organic acids and derivatives	0.908	Organic sulfuric acids and derivatives	0.521					Organic sulfuric acids and derivatives	0.521	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organic sulfuric acids and derivatives; Sulfonyls; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	289.096	944	603012670252977972	603010839078443559	588
1	C5H7N3	[M + H]+	C5H8N3+	Alkaloids	0.957	Nicotinic acid alkaloids	0.774	Pyridine alkaloids	0.773	Organoheterocyclic compounds	0.993	Heteroaromatic compounds	0.991					Heteroaromatic compounds	0.991	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Monoalkylamines; Amines; Primary amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	110.072	946	603012650590079112	603010839174912556	589
4	C14H26N4O12	[M + H]+	C14H27N4O12+	Carbohydrates	1.000	Aminosugars and aminoglycosides	0.964	Aminoglycosides	0.793	Organic oxygen compounds	1.000	Organooxygen compounds	0.998	Carbohydrates and carbohydrate conjugates	0.988	Aminosaccharides	0.823	Aminoglycosides	0.719	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Organonitrogen compounds; Aminoglycosides; Primary alcohols; Organooxygen compounds; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Amines; Primary amines; Tetrahydrofurans; Aminosaccharides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	443.162	946	603012661017119740	603010839271381553	590
1	C6H9N3O2	[M + H]+	C6H10N3O2+	Amino acids and Peptides	1.000	Small peptides	1.000	Aminoacids	1.000	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	1.000	Amino acids and derivatives	1.000	Histidine and derivatives	0.983	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted imidazoles; Alpha amino acids; Amines; Primary amines; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	156.077	949	603012685205671883	603010839363656246	592
1	C8H20NO6P	[M + H]+	C8H21NO6P+	Fatty acids	0.990	Glycerophospholipids	0.964	Glycerophosphocholines	0.900	Organic nitrogen compounds	0.936	Organonitrogen compounds	0.709	Quaternary ammonium salts	0.971	Cholines	0.900	Phosphocholines	0.858	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Phosphocholines; Secondary alcohols; Polyols; Amines; 1,2-diols; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	258.110	956	603012691706843430	603010839476902459	593
1	C4H7NO2	[M - H2O + H]+	C4H6NO+	Amino acids and Peptides	0.994	Small peptides	0.978	Aminoacids	0.988	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.997	Amino acids, peptides, and analogues	0.897	Amino acids and derivatives	0.895	Alpha amino acids and derivatives	0.724	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Pyrrolidones; Carboxylic acids; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	84.045	1018	603012718084823847	603010839594342976	594
1	C4H7NO2	[M + H]+	C4H8NO2+	Amino acids and Peptides	0.991	Small peptides	0.981	Aminoacids	0.991	Organic acids and derivatives	0.991	Carboxylic acids and derivatives	0.989	Amino acids, peptides, and analogues	0.873	Amino acids and derivatives	0.872	Amino acids	0.827	Organic compounds; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Unsaturated fatty acids; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	102.055	1018	603012658139826978	603010839703394885	595
2	C5H7NO3	[M + H]+	C5H8NO3+	Amino acids and Peptides	0.998	Small peptides	0.994	Aminoacids	0.993	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.925	Amino acids and derivatives	0.924	Proline and derivatives	0.709	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Pyrrolidones; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Oxoprolines; Pyrrolidine carboxylic acids; Pyrrolidine-2-ones; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	130.050	1023	603012709100623663	603010839837612618	596
1	C5H9NO4	[M + H]+	C5H10NO4+	Amino acids and Peptides	1.000	Small peptides	1.000	Aminoacids	1.000	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.999	Amino acids and derivatives	0.999	Alpha amino acids	0.925	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Glutamic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	148.060	1024	603012709679437680	603010839938275919	597
1	C8H18N4O2	[M + H]+	C8H19N4O2+	Amino acids and Peptides	1.000	Small peptides	1.000	Aminoacids	1.000	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	1.000	Amino acids and derivatives	1.000	Arginine and derivatives	0.531	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Guanidines; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Arginine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	203.150	1031	603012652599150944	603010840038939220	598
1	C9H21N3S	[M + H]+	C9H22N3S+	Alkaloids	0.477	Ornithine alkaloids	0.229	Polyamines	0.321	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.754	Tertiary amines	0.792	Trialkylamines	0.805	Organic compounds; Organosulfur compounds; Organonitrogen compounds; Trialkylamines; Amines; Tertiary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	204.153	1031	603012651139532997	603010840143796825	599
1	C4H7NO4	[M + H]+	C4H8NO4+	Amino acids and Peptides	1.000	Small peptides	1.000	Aminoacids	1.000	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	1.000	Amino acids and derivatives	1.000	Alpha amino acids	0.963	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Aspartic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	134.045	1033	603012708077213269	603010840500312670	600
